spec,category_chain_or_product,method,status,reason,category,http_status,rpc_code,rpc_message
avax,chain,eth_sendRawTransactionSync,fail,jsonrpc error,Mutation method - pre-EIP-155 example,200,-32000,only replay-protected (EIP-155) transactions allowed over RPC
avax,chain,eth_sendRawTransaction,fail,jsonrpc error,Mutation method - pre-EIP-155 example,200,-32000,only replay-protected (EIP-155) transactions allowed over RPC
ronin,chain,eth_getFilterLogs,fail,HTTP 400,Stateless Try It - filter does not persist,400,,"{""jsonrpc"":""2.0"",""id"":1,""error"":{""code"":-32000,""message"":""filter not found""}}"
opbnb,chain,eth_createAccessList,fail,jsonrpc error,Mutation method needs funded sender,200,-32000,failed to apply transaction: 0x9eec55c5bc6d5481ef601a8b7d4729fae56e2d4061727fdf092d723a5ad50364 err: insufficient funds for gas * price + value: address 0xaeA8F8f781326bfE6A7683C2BD48Dd6AA4d3Ba63 have
hyperliquid,chain,net_listening,fail,HTTP 400,Method not supported on chain,400,,"{""jsonrpc"":""2.0"",""id"":1,""error"":{""code"":-32600,""message"":""Unsupported method: net_listening on HYPERLIQUID_MAINNET""}}"
eth,chain,eth_createAccessList,fail,jsonrpc error,Mutation method - gas mismatch,200,-32000,intrinsic gas too high
ronin,chain,eth_getProof,fail,jsonrpc error,Invalid params shape (-32602),200,-32602,Invalid params
abstract,chain,zks_getAllAccountBalances,fail,jsonrpc error,Method not supported on chain,200,-32601,Method not found
avax,chain,eth_submitWork,fail,jsonrpc error,Method not supported on chain,200,-32601,the method eth_submitWork does not exist/is not available
avax,chain,eth_simulateV1,fail,jsonrpc error,Method not supported on chain,200,-32601,the method eth_simulateV1 does not exist/is not available
injective,chain,eth_estimateGas,fail,jsonrpc error,Other JSON-RPC error,200,-32000,rpc error: code = Unknown desc = insufficient balance for transfer
zetachain,chain,eth_getBlockByHash,fail,jsonrpc error,Stale example - block reference,200,-32000,block not found for hash 0xd5f1812548be429cbdc6376b29611fc49e06f1359758c4ceaaa3b393e2239f9c
zetachain,chain,eth_getBlockReceipts,fail,jsonrpc error,Method not supported on chain,200,-32601,the method eth_getBlockReceipts does not exist/is not available
tron,chain,eth_call,fail,jsonrpc error,Other JSON-RPC error,200,-32600,Smart contract is not exist.
tron,chain,eth_estimateGas,fail,jsonrpc error,Other JSON-RPC error,200,-32600,"Validate TransferContract error, no OwnerAccount."
adi,chain,eth_call,fail,jsonrpc error,Other JSON-RPC error,200,-32603,"invalid transaction: LackOfFundForMaxFee { fee: 1, balance: 0 }"
matic,chain,bor_getRootHash,fail,jsonrpc error,Example payload type/format invalid,200,-32602,invalid argument 0: json: cannot unmarshal string into Go value of type uint64
fantom,chain,eth_blockNumber,fail,dns/connect,Host does not resolve,,,[Errno -2] Name or service not known
fantom,chain,eth_call,fail,dns/connect,Host does not resolve,,,[Errno -2] Name or service not known
fantom,chain,eth_callMany,fail,dns/connect,Host does not resolve,,,[Errno -2] Name or service not known
fantom,chain,eth_chainId,fail,dns/connect,Host does not resolve,,,[Errno -2] Name or service not known
tea,chain,eth_getTransactionCount,fail,dns/connect,Host does not resolve,,,[Errno -2] Name or service not known
tea,chain,eth_getTransactionReceipt,fail,dns/connect,Host does not resolve,,,[Errno -2] Name or service not known
stable,chain,eth_blobBaseFee,fail,HTTP 400,Method not supported on chain,400,,"{""jsonrpc"":""2.0"",""id"":1,""error"":{""code"":-32600,""message"":""Unsupported method: eth_blobBaseFee on STABLE_MAINNET""}}"
stable,chain,eth_call,fail,jsonrpc error,Other JSON-RPC error,200,-32000,rpc error: code = Internal desc = insufficient balance for transfer
opt,chain,eth_callMany,fail,jsonrpc error,Mutation method needs funded sender,200,-32003,call_many error in bundle 0 and transaction 0: insufficient funds for gas * price + value: have 0 want 2023155498000000
anime,chain,eth_call,fail,jsonrpc error,Mutation method needs funded sender,200,-32000,err: insufficient funds for gas * price + value: address 0x0000000000000000000000000000000000000000 have 0 want 1 (supplied gas 550000000)
megaeth,chain,eth_callMany,fail,jsonrpc error,Mutation method needs funded sender,200,-32003,insufficient funds for gas * price + value: have 0 want 2023155498000000
flow,chain,eth_estimateGas,fail,jsonrpc error,Mutation method needs funded sender,200,-32000,failed transaction: insufficient funds for gas * price + value: address 0xd8dA6BF26964aF9D7eEd9e03E53415D37aA96045 have 0 want 1
berachain,chain,eth_blobBaseFee,fail,HTTP 400,Method not supported on chain,400,,"{""jsonrpc"":""2.0"",""id"":1,""error"":{""code"":-32600,""message"":""Unsupported method: eth_blobBaseFee on BERACHAIN_MAINNET""}}"
pharos,chain,eth_call,fail,jsonrpc error,Other JSON-RPC error,200,-32029,The caller does not have enough funds for value transfer.
apechain,chain,eth_blobBaseFee,fail,HTTP 400,Method not supported on chain,400,,"{""jsonrpc"":""2.0"",""id"":1,""error"":{""code"":-32600,""message"":""Unsupported method: eth_blobBaseFee on APECHAIN_MAINNET""}}"
citrea,chain,citrea_sendRawDepositTransaction,fail,jsonrpc error,Method not supported on chain,200,-32601,Method not found
stellar,chain,getHealth,fail,jsonrpc error,Invalid params shape (-32602),200,-32602,invalid parameters
stellar,chain,getEvents,fail,jsonrpc error,Other JSON-RPC error,200,-32600,startLedger must be within the ledger range: 62549698 - 62791617
bitcoincash,chain,estimatesmartfee,fail,HTTP 503,Transient or capacity: HTTP 503,503,,"{""jsonrpc"":""2.0"",""id"":1,""error"":{""code"":-32001,""message"":""Unable to complete request at this time.""}}"
bitcoincash,chain,createrawtransaction,fail,HTTP 503,Transient or capacity: HTTP 503,503,,"{""jsonrpc"":""2.0"",""id"":1,""error"":{""code"":-32001,""message"":""Unable to complete request at this time.""}}"
bitcoincash,chain,decoderawtransaction,fail,HTTP 503,Transient or capacity: HTTP 503,503,,"{""jsonrpc"":""2.0"",""id"":1,""error"":{""code"":-32001,""message"":""Unable to complete request at this time.""}}"
clankermon,chain,eth_call,fail,jsonrpc error,Mutation method needs funded sender,200,-32000,err: insufficient funds for gas * price + value: address 0x0000000000000000000000000000000000000000 have 0 want 1 (supplied gas 1100000000)
polygonzkevm,chain,eth_accounts,fail,jsonrpc error,Other JSON-RPC error,200,-32000,the method has been deprecated: eth_accounts
sui,chain,sui_devInspectTransactionBlock,fail,jsonrpc error,Invalid params shape (-32602),200,-32602,"Deserialization error: invalid value: integer `15043`, expected variant index 0 <= i < 3"
sui,chain,sui_executeTransactionBlock,fail,jsonrpc error,Invalid params shape (-32602),200,-32602,Invalid params
sui,chain,sui_dryRunTransactionBlock,fail,jsonrpc error,Invalid params shape (-32602),200,-32602,Deserialization error: ULEB128-encoded integer did not fit in the target size
arc,chain,eth_call,fail,jsonrpc error,Other JSON-RPC error,200,3,execution reverted: Zero address not allowed
monad,chain,eth_blobBaseFee,fail,jsonrpc error,Method not supported on chain,200,-32601,Method not found
monad,chain,eth_accounts,fail,jsonrpc error,Method not supported on chain,200,-32601,Method not found
gnosis,chain,eth_blobBaseFee,fail,HTTP 400,Method not supported on chain,400,,"{""jsonrpc"":""2.0"",""id"":1,""error"":{""code"":-32600,""message"":""Unsupported method: eth_blobBaseFee on GNOSIS_MAINNET""}}"
crossfi,chain,eth_call,fail,jsonrpc error,Other JSON-RPC error,200,-32000,rpc error: code = Internal desc = insufficient balance for transfer
crossfi,chain,eth_estimateGas,fail,jsonrpc error,Other JSON-RPC error,200,-32000,rpc error: code = InvalidArgument desc = insufficient balance for transfer: invalid request
linea,chain,eth_blobBaseFee,fail,HTTP 400,Method not supported on chain,400,,"{""jsonrpc"":""2.0"",""id"":1,""error"":{""code"":-32600,""message"":""Unsupported method: eth_blobBaseFee on LINEA_MAINNET""}}"
rise,chain,eth_blobBaseFee,fail,HTTP 400,Method not supported on chain,400,,"{""jsonrpc"":""2.0"",""id"":1,""error"":{""code"":-32600,""message"":""Unsupported method: eth_blobBaseFee on RISE_MAINNET""}}"
astar,chain,eth_call,fail,jsonrpc error,Other JSON-RPC error,200,-32603,evm error: OutOfFund
tea,chain,eth_blockNumber,fail,dns/connect,Host does not resolve,,,[Errno -2] Name or service not known
tea,chain,eth_call,fail,dns/connect,Host does not resolve,,,[Errno -2] Name or service not known
eth,chain,eth_fillTransaction,fail,jsonrpc error,Mutation method needs funded sender,200,-32003,insufficient funds for gas * price + value: have 0 want 1
sonic,chain,eth_callMany,fail,jsonrpc error,Method not supported on chain,200,-32601,the method eth_callMany does not exist/is not available
opbnb,chain,eth_fillTransaction,fail,jsonrpc error,Mutation method needs funded sender,200,-32000,insufficient funds for transfer
hyperliquid,chain,web3_sha3,fail,jsonrpc error,Method not supported on chain,200,-32601,Method not found
dogecoin,chain,createrawtransaction,fail,HTTP 503,Transient or capacity: HTTP 503,503,,"{""jsonrpc"":""2.0"",""id"":1,""error"":{""code"":-32001,""message"":""Unable to complete request at this time.""}}"
dogecoin,chain,decoderawtransaction,fail,HTTP 503,Transient or capacity: HTTP 503,503,,"{""jsonrpc"":""2.0"",""id"":1,""error"":{""code"":-32001,""message"":""Unable to complete request at this time.""}}"
litecoin,chain,createrawtransaction,fail,jsonrpc error,Other JSON-RPC error,200,-5,Invalid Litecoin address: 1A1zP1eP5QGefi2DMPTfTL5SLmv7DivfNa
opbnb,chain,eth_getAccount,fail,jsonrpc error,Method not supported on chain,200,-32601,the method eth_getAccount does not exist/is not available
zora,chain,eth_fillTransaction,fail,jsonrpc error,Mutation method needs funded sender,200,-32000,insufficient funds for transfer
hyperliquid,chain,eth_blobBaseFee,fail,HTTP 400,Method not supported on chain,400,,"{""jsonrpc"":""2.0"",""id"":1,""error"":{""code"":-32600,""message"":""Unsupported method: eth_blobBaseFee on HYPERLIQUID_MAINNET""}}"
dogecoin,chain,estimatesmartfee,fail,jsonrpc error,Other JSON-RPC error,200,-1,"estimatesmartfee nblocks

WARNING: This interface is unstable and may disappear or change!

Estimates the approximate fee per kilobyte needed for a transaction to begin
confirmation within nblocks blo"
sonic,chain,eth_createAccessList,fail,jsonrpc error,Mutation method needs funded sender,200,-32000,insufficient funds for transfer
hyperliquid,chain,eth_accounts,fail,jsonrpc error,Method not supported on chain,200,-32601,Method not found
injective,chain,eth_fillTransaction,fail,jsonrpc error,Stale example - block reference,200,-32000,header not found
injective,chain,eth_getAccount,fail,jsonrpc error,Method not supported on chain,200,-32601,the method eth_getAccount does not exist/is not available
bob,chain,eth_sendRawTransaction,fail,jsonrpc error,Mutation method needs funded sender,200,-32003,insufficient funds for gas * price + value: have 0 want 2000000000021000000
tempo,chain,eth_sendRawTransaction,fail,jsonrpc error,Other JSON-RPC error,200,-32000,value transfer not allowed
tron,chain,eth_getAccount,fail,jsonrpc error,Method not supported on chain,200,-32601,method not found
botanix,chain,eth_estimateGas,fail,jsonrpc error,Mutation method needs funded sender,200,-32003,insufficient funds for gas * price + value
adi,chain,eth_estimateGas,fail,jsonrpc error,Other JSON-RPC error,200,-32603,"invalid transaction: LackOfFundForMaxFee { fee: 1, balance: 0 }"
zksync,chain,eth_getAccount,fail,jsonrpc error,Method not supported on chain,200,-32601,Method not found
fantom,chain,eth_estimateGas,fail,dns/connect,Host does not resolve,,,[Errno -2] Name or service not known
adi,chain,eth_getAccount,fail,jsonrpc error,Method not supported on chain,200,-32603,unimplemented
rootstock,chain,eth_feeHistory,fail,jsonrpc error,Method not supported on chain,200,-32601,method not found
fantom,chain,eth_feeHistory,fail,dns/connect,Host does not resolve,,,[Errno -2] Name or service not known
rootstock,chain,eth_getAccount,fail,jsonrpc error,Method not supported on chain,200,-32601,method not found
fantom,chain,eth_gasPrice,fail,dns/connect,Host does not resolve,,,[Errno -2] Name or service not known
fantom,chain,eth_getAccount,fail,dns/connect,Host does not resolve,,,[Errno -2] Name or service not known
base,chain,eth_callBundle,fail,jsonrpc error,Invalid params shape (-32602),200,-32602,Invalid params
tea,chain,eth_chainId,fail,dns/connect,Host does not resolve,,,[Errno -2] Name or service not known
base,chain,eth_createAccessList,fail,jsonrpc error,Mutation method - gas mismatch,200,-32000,intrinsic gas too high
tea,chain,eth_estimateGas,fail,dns/connect,Host does not resolve,,,[Errno -2] Name or service not known
unichain,chain,eth_callMany,fail,jsonrpc error,Mutation method needs funded sender,200,-32003,call_many error in bundle 0 and transaction 0: insufficient funds for gas * price + value: have 0 want 2023155498000000
ink,chain,eth_callMany,fail,jsonrpc error,Mutation method needs funded sender,200,-32003,call_many error in bundle 0 and transaction 0: insufficient funds for gas * price + value: have 0 want 2023155498000000
stable,chain,eth_createAccessList,fail,HTTP 400,Method not supported on chain,400,,"{""jsonrpc"":""2.0"",""id"":1,""error"":{""code"":-32600,""message"":""Unsupported method: eth_createAccessList on STABLE_MAINNET""}}"
celo,chain,eth_callMany,fail,jsonrpc error,Method not supported on chain,200,-32601,the method eth_callMany does not exist/is not available
stable,chain,eth_estimateGas,fail,jsonrpc error,Other JSON-RPC error,200,-32000,rpc error: code = Unknown desc = insufficient balance for transfer
scroll,chain,eth_createAccessList,fail,jsonrpc error,Mutation method needs funded sender,200,-32000,insufficient funds for transfer
anime,chain,eth_estimateGas,fail,jsonrpc error,Mutation method needs funded sender,200,-32000,failed with 550000000 gas: insufficient funds for gas * price + value: address 0xd8dA6BF26964aF9D7eEd9e03E53415D37aA96045 have 0 want 1
celo,chain,eth_createAccessList,fail,jsonrpc error,Mutation method needs funded sender,200,-32000,failed to apply transaction: 0x9198f0ae5e8bf0e0afc3b2b388efb172fd11439785b5797b7eac1c0e80653dcb err: insufficient funds for gas * price + value: address 0xaeA8F8f781326bfE6A7683C2BD48Dd6AA4d3Ba63 have
scroll,chain,eth_fillTransaction,fail,jsonrpc error,Mutation method needs funded sender,200,-32000,insufficient funds for transfer
flow,chain,eth_fillTransaction,fail,jsonrpc error,Method not supported on chain,200,-32601,the method eth_fillTransaction does not exist/is not available
flow,chain,eth_getAccount,fail,jsonrpc error,Method not supported on chain,200,-32601,the method eth_getAccount does not exist/is not available
berachain,chain,eth_callMany,fail,jsonrpc error,Mutation method needs funded sender,200,-32003,call_many error in bundle 0 and transaction 0: insufficient funds for gas * price + value: have 0 want 2023155498000000
pharos,chain,eth_estimateGas,fail,jsonrpc error,Other JSON-RPC error,200,-32029,The caller does not have enough funds for value transfer.
jovay,chain,eth_estimateGas,fail,jsonrpc error,Other JSON-RPC error,200,-32603,The caller does not have enough funds for value transfer.
worldchain,chain,eth_callBundle,fail,jsonrpc error,Invalid params shape (-32602),200,-32602,Invalid params
worldchain,chain,eth_callMany,fail,jsonrpc error,Mutation method needs funded sender,200,-32003,call_many error in bundle 0 and transaction 0: insufficient funds for gas * price + value: have 0 want 2023155498000000
sei,chain,eth_createAccessList,fail,jsonrpc error,Mutation method needs funded sender,200,-32000,failed to apply transaction: 0xfdde7ce71f365821e9b64135d0bea0bdaa34adba83a2008b9055811f8de2d39c err: insufficient funds for gas * price + value: address 0xaeA8F8f781326bfE6A7683C2BD48Dd6AA4d3Ba63 have
sei,chain,eth_fillTransaction,fail,jsonrpc error,Method not supported on chain,200,-32601,the method eth_fillTransaction does not exist/is not available
apechain,chain,eth_fillTransaction,fail,jsonrpc error,Mutation method needs funded sender,200,-32000,insufficient funds for transfer
metis,chain,eth_createAccessList,fail,jsonrpc error,Method not supported on chain,200,-32601,the method eth_createAccessList does not exist/is not available
metis,chain,eth_feeHistory,fail,jsonrpc error,Method not supported on chain,200,-32601,the method eth_feeHistory does not exist/is not available
katana,chain,eth_getAccount,fail,jsonrpc error,Method not supported on chain,200,-32601,the method eth_getAccount does not exist/is not available
arb,chain,eth_createAccessList,fail,jsonrpc error,Mutation method needs funded sender,200,-32000,failed to apply transaction: 0x5cf233fb2361355996805304785090735fbbfe392362664fbb5687cfb9032df7 err: insufficient funds for gas * price + value: address 0xaeA8F8f781326bfE6A7683C2BD48Dd6AA4d3Ba63 have
katana,chain,eth_getAccountInfo,fail,jsonrpc error,Method not supported on chain,200,-32601,the method eth_getAccountInfo does not exist/is not available
story,chain,eth_fillTransaction,fail,jsonrpc error,Mutation method needs funded sender,200,-32000,insufficient funds for transfer
arb,chain,eth_fillTransaction,fail,jsonrpc error,Mutation method needs funded sender,200,-32000,insufficient funds for transfer
settlus,chain,eth_estimateGas,fail,jsonrpc error,Mutation method needs funded sender,200,-32000,failed with 30000000 gas: insufficient funds for gas * price + value: address 0xd8dA6BF26964aF9D7eEd9e03E53415D37aA96045 have 0 want 1
gensyn,chain,eth_createAccessList,fail,jsonrpc error,Mutation method needs funded sender,200,-32000,failed to apply transaction: 0x648396a8748f5e3dbc343d9477894054505922c6cdc0711d84d8c589366654ba err: insufficient funds for gas * price + value: address 0xaeA8F8f781326bfE6A7683C2BD48Dd6AA4d3Ba63 have
gensyn,chain,eth_estimateGas,fail,jsonrpc error,Mutation method needs funded sender,200,-32000,failed with 550000000 gas: insufficient funds for gas * price + value: address 0xd8dA6BF26964aF9D7eEd9e03E53415D37aA96045 have 0 want 1
settlus,chain,eth_getAccount,fail,jsonrpc error,Method not supported on chain,200,-32601,the method eth_getAccount does not exist/is not available
clankermon,chain,eth_estimateGas,fail,jsonrpc error,Mutation method needs funded sender,200,-32000,failed with 1100000000 gas: insufficient funds for gas * price + value: address 0xd8dA6BF26964aF9D7eEd9e03E53415D37aA96045 have 0 want 1
bitcoincash,chain,getblock,fail,HTTP 503,Transient or capacity: HTTP 503,503,,"{""jsonrpc"":""2.0"",""id"":1,""error"":{""code"":-32001,""message"":""Unable to complete request at this time.""}}"
lens,chain,eth_fillTransaction,fail,jsonrpc error,Method not supported on chain,200,-32601,Method not found
polygonzkevm,chain,eth_getAccount,fail,jsonrpc error,Method not supported on chain,200,-32601,the method eth_getAccount does not exist/is not available
arc,chain,eth_callBundle,fail,jsonrpc error,Invalid params shape (-32602),200,-32602,Invalid params
arc,chain,eth_callMany,fail,jsonrpc error,Mutation method needs funded sender,200,-32003,call_many error in bundle 0 and transaction 0: insufficient funds for gas * price + value: have 0 want 2023155498000000
arc,chain,eth_createAccessList,fail,jsonrpc error,Mutation method - gas mismatch,200,-32000,intrinsic gas too high
monad,chain,eth_callMany,fail,jsonrpc error,Method not supported on chain,200,-32601,Method not found
blast,chain,eth_createAccessList,fail,jsonrpc error,Other JSON-RPC error,200,-32603,method handler crashed
crossfi,chain,eth_getAccount,fail,jsonrpc error,Method not supported on chain,200,-32601,the method eth_getAccount does not exist/is not available
linea,chain,eth_createAccessList,fail,jsonrpc error,Mutation method needs funded sender,200,-32000,failed to apply transaction: 0x8125237d60f37fa609508f104344529d7c3287a34ded02671867ed530aa24b89 err: insufficient funds for gas * price + value: address 0xaeA8F8f781326bfE6A7683C2BD48Dd6AA4d3Ba63 have
linea,chain,eth_estimateGas,fail,jsonrpc error,Mutation method needs funded sender,200,-32000,failed with 16777216 gas: insufficient funds for gas * price + value: address 0xFE3B557E8Fb62b89F4916B721be55cEb828dBd73 have 0 want 1
rise,chain,eth_createAccessList,fail,HTTP 400,Method not supported on chain,400,,"{""jsonrpc"":""2.0"",""id"":1,""error"":{""code"":-32600,""message"":""Unsupported method: eth_createAccessList on RISE_MAINNET""}}"
rise,chain,eth_estimateGas,fail,jsonrpc error,Mutation method needs funded sender,200,-32003,insufficient funds for gas * price + value: have 0 want 1
rise,chain,eth_fillTransaction,fail,HTTP 400,Method not supported on chain,400,,"{""jsonrpc"":""2.0"",""id"":1,""error"":{""code"":-32600,""message"":""Unsupported method: eth_fillTransaction on RISE_MAINNET""}}"
degen,chain,eth_fillTransaction,fail,jsonrpc error,Mutation method needs funded sender,200,-32000,insufficient funds for transfer
tea,chain,eth_gasPrice,fail,dns/connect,Host does not resolve,,,[Errno -2] Name or service not known
tea,chain,eth_getAccount,fail,dns/connect,Host does not resolve,,,[Errno -2] Name or service not known
humanity,chain,eth_estimateGas,fail,jsonrpc error,Mutation method needs funded sender,200,-32000,failed with 550000000 gas: insufficient funds for gas * price + value: address 0xd8dA6BF26964aF9D7eEd9e03E53415D37aA96045 have 0 want 1
moonbeam,chain,eth_fillTransaction,fail,jsonrpc error,Method not supported on chain,200,-32601,Method not found
humanity,chain,eth_fillTransaction,fail,jsonrpc error,Mutation method needs funded sender,200,-32000,insufficient funds for transfer
bnb,chain,eth_callMany,fail,jsonrpc error,Mutation method needs funded sender,200,-32003,call_many error in bundle 0 and transaction 0: insufficient funds for gas * price + value: have 0 want 2023155498000000
bnb,chain,eth_createAccessList,fail,jsonrpc error,Mutation method needs funded sender,200,-32000,failed to apply transaction: 0x6ac54253b7374c823e1598e34ed1cd4b6ae07cc8b8ad173fea235368abb6ee53 err: insufficient funds for gas * price + value: address 0xaeA8F8f781326bfE6A7683C2BD48Dd6AA4d3Ba63 have
robinhood,chain,eth_fillTransaction,fail,jsonrpc error,Mutation method needs funded sender,200,-32000,insufficient funds for transfer
soneium,chain,eth_createAccessList,fail,jsonrpc error,Mutation method needs funded sender,200,-32000,failed to apply transaction: 0x2d1604ff4cfd70f498997ebee5cf095a5153e4ed1c62947f192dc6420d31e431 err: insufficient funds for gas * price + value: address 0xaeA8F8f781326bfE6A7683C2BD48Dd6AA4d3Ba63 have
sonic,chain,eth_fillTransaction,fail,jsonrpc error,Mutation method needs funded sender,200,-32000,insufficient funds for transfer
tempo,chain,eth_sendRawTransactionSync,fail,jsonrpc error,Other JSON-RPC error,200,-32000,value transfer not allowed
mythos,chain,eth_createAccessList,fail,jsonrpc error,Mutation method needs funded sender,200,-32000,failed to apply transaction: 0x348ba44b77143267d6d4c74f057f998cc0dd9521a8f608ee3a119d7a288cc1eb err: insufficient funds for gas * price + value: address 0xaeA8F8f781326bfE6A7683C2BD48Dd6AA4d3Ba63 have
zora,chain,eth_getAccountInfo,fail,jsonrpc error,Method not supported on chain,200,-32601,the method eth_getAccountInfo does not exist/is not available
mythos,chain,eth_estimateGas,fail,jsonrpc error,Mutation method needs funded sender,200,-32000,failed with 550000000 gas: insufficient funds for gas * price + value: address 0xd8dA6BF26964aF9D7eEd9e03E53415D37aA96045 have 0 want 1
dogecoin,chain,getblock,fail,jsonrpc error,Stale example - block reference,200,-5,Block not found
hyperliquid,chain,eth_callMany,fail,jsonrpc error,Mutation method needs funded sender,200,-32003,insufficient funds for gas * price + value: have 0 want 2023155498000000
zora,chain,eth_getAccount,fail,jsonrpc error,Method not supported on chain,200,-32601,the method eth_getAccount does not exist/is not available
abstract,chain,zks_getConfirmedTokens,fail,jsonrpc error,Method not supported on chain,200,-32601,Method not found
litecoin,chain,getblock,fail,jsonrpc error,Stale example - block reference,200,-5,Block not found
bob,chain,eth_submitWork,fail,jsonrpc error,Method not supported on chain,200,-32603,unimplemented
injective,chain,eth_getBlockReceipts,fail,HTTP 400,Method not supported on chain,400,,"{""jsonrpc"":""2.0"",""id"":1,""error"":{""code"":-32600,""message"":""Unsupported method: eth_getBlockReceipts on INJECTIVE_MAINNET""}}"
zetachain,chain,eth_getFilterChanges,fail,HTTP 400,Stateless Try It - filter does not persist,400,,"{""jsonrpc"":""2.0"",""id"":1,""error"":{""code"":-32000,""message"":""filter not found""}}"
zetachain,chain,eth_getFilterLogs,fail,HTTP 400,Stateless Try It - filter does not persist,400,,"{""jsonrpc"":""2.0"",""id"":1,""error"":{""code"":-32000,""message"":""filter not found""}}"
tempo,chain,eth_simulateV1,fail,jsonrpc error,Other JSON-RPC error,200,-32003,value transfer not allowed
tempo,chain,eth_submitWork,fail,jsonrpc error,Method not supported on chain,200,-32603,unimplemented
botanix,chain,eth_getAccountInfo,fail,jsonrpc error,Method not supported on chain,200,-32601,Method not found
adi,chain,eth_getBalance,fail,dns/connect,Host does not resolve,,,[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: certificate is not yet valid (_ssl.c:1016)
fantom,chain,eth_getBalance,fail,dns/connect,Host does not resolve,,,[Errno -2] Name or service not known
matic,chain,eth_callMany,fail,HTTP 503,Transient or capacity: HTTP 503,503,,"{""jsonrpc"":""2.0"",""id"":1,""error"":{""code"":-32001,""message"":""Unable to complete request at this time.""}}"
fantom,chain,eth_getBlockByHash,fail,dns/connect,Host does not resolve,,,[Errno -2] Name or service not known
fantom,chain,eth_getBlockByNumber,fail,dns/connect,Host does not resolve,,,[Errno -2] Name or service not known
fantom,chain,eth_getBlockReceipts,fail,dns/connect,Host does not resolve,,,[Errno -2] Name or service not known
tea,chain,eth_getBalance,fail,dns/connect,Host does not resolve,,,[Errno -2] Name or service not known
tea,chain,eth_getBlockByHash,fail,dns/connect,Host does not resolve,,,[Errno -2] Name or service not known
opt,chain,eth_fillTransaction,fail,jsonrpc error,Mutation method needs funded sender,200,-32003,insufficient funds for gas * price + value: have 0 want 1
base,chain,eth_fillTransaction,fail,jsonrpc error,Mutation method needs funded sender,200,-32003,insufficient funds for gas * price + value: have 0 want 1
unichain,chain,eth_fillTransaction,fail,jsonrpc error,Mutation method needs funded sender,200,-32003,insufficient funds for gas * price + value: have 0 want 1
ink,chain,eth_fillTransaction,fail,jsonrpc error,Mutation method needs funded sender,200,-32003,insufficient funds for gas * price + value: have 0 want 1
stable,chain,eth_getAccount,fail,jsonrpc error,Method not supported on chain,200,-32601,the method eth_getAccount does not exist/is not available
anime,chain,eth_getAccount,fail,jsonrpc error,Method not supported on chain,200,-32601,the method eth_getAccount does not exist/is not available
celo,chain,eth_fillTransaction,fail,jsonrpc error,Mutation method needs funded sender,200,-32000,insufficient funds for transfer
stable,chain,eth_getBlockByHash,fail,jsonrpc error,Stale example - block reference,200,-32000,block not found for hash 0xd5f1812548be429cbdc6376b29611fc49e06f1359758c4ceaaa3b393e2239f9c
scroll,chain,eth_getAccount,fail,jsonrpc error,Method not supported on chain,200,-32601,the method eth_getAccount does not exist/is not available
celo,chain,eth_getAccount,fail,jsonrpc error,Method not supported on chain,200,-32601,the method eth_getAccount does not exist/is not available
scroll,chain,eth_getAccountInfo,fail,jsonrpc error,Method not supported on chain,200,-32601,the method eth_getAccountInfo does not exist/is not available
flow,chain,eth_getAccountInfo,fail,jsonrpc error,Method not supported on chain,200,-32601,the method eth_getAccountInfo does not exist/is not available
berachain,chain,eth_fillTransaction,fail,jsonrpc error,Mutation method needs funded sender,200,-32003,insufficient funds for gas * price + value: have 0 want 1
apechain,chain,eth_getAccount,fail,jsonrpc error,Method not supported on chain,200,-32601,the method eth_getAccount does not exist/is not available
citrea,chain,eth_createAccessList,fail,HTTP 400,Method not supported on chain,400,,"{""jsonrpc"":""2.0"",""id"":1,""error"":{""code"":-32600,""message"":""Unsupported method: eth_createAccessList on CITREA_MAINNET""}}"
sei,chain,eth_getAccount,fail,jsonrpc error,Method not supported on chain,200,-32601,the method eth_getAccount does not exist/is not available
citrea,chain,eth_estimateDiffSize,fail,jsonrpc error,Mutation method needs funded sender,200,-32003,insufficient funds for gas * price + value: have 0 want 10000
sei,chain,eth_getAccountInfo,fail,jsonrpc error,Method not supported on chain,200,-32601,the method eth_getAccountInfo does not exist/is not available
citrea,chain,eth_estimateGas,fail,jsonrpc error,Mutation method needs funded sender,200,-32003,insufficient funds for gas * price + value: have 0 want 1
apechain,chain,eth_getAccountInfo,fail,jsonrpc error,Method not supported on chain,200,-32601,the method eth_getAccountInfo does not exist/is not available
metis,chain,eth_getAccount,fail,jsonrpc error,Method not supported on chain,200,-32601,the method eth_getAccount does not exist/is not available
stellar,chain,getTransactions,fail,jsonrpc error,Other JSON-RPC error,200,-32600,start ledger (62462511) must be between the oldest ledger: 62549861 and the latest ledger: 62791780 for this rpc instance
bitcoin,chain,getblockfilter,fail,jsonrpc error,Other JSON-RPC error,200,-1,Index is not enabled for filtertype basic
arb,chain,eth_getAccount,fail,jsonrpc error,Method not supported on chain,200,-32601,the method eth_getAccount does not exist/is not available
story,chain,eth_getAccount,fail,jsonrpc error,Method not supported on chain,200,-32601,the method eth_getAccount does not exist/is not available
